buying,class,doors,lug_boot,maint,persons,safety
vhigh,unacc,2,small,vhigh,2,low
vhigh,unacc,2,small,vhigh,2,med
vhigh,unacc,2,small,vhigh,2,high
vhigh,unacc,2,med,vhigh,2,low
vhigh,unacc,2,med,vhigh,2,med
vhigh,unacc,2,med,vhigh,2,high
vhigh,unacc,2,big,vhigh,2,low
vhigh,unacc,2,big,vhigh,2,med
vhigh,unacc,2,big,vhigh,2,high
vhigh,unacc,2,small,vhigh,4,low
vhigh,unacc,2,small,vhigh,4,med
vhigh,unacc,2,small,vhigh,4,high
vhigh,unacc,2,med,vhigh,4,low
vhigh,unacc,2,med,vhigh,4,med
vhigh,unacc,2,med,vhigh,4,high
vhigh,unacc,2,big,vhigh,4,low
vhigh,unacc,2,big,vhigh,4,med
vhigh,unacc,2,big,vhigh,4,high
vhigh,unacc,2,small,vhigh,more,low
vhigh,unacc,2,small,vhigh,more,med
vhigh,unacc,2,small,vhigh,more,high
vhigh,unacc,2,med,vhigh,more,low
vhigh,unacc,2,med,vhigh,more,med
vhigh,unacc,2,med,vhigh,more,high
vhigh,unacc,2,big,vhigh,more,low
vhigh,unacc,2,big,vhigh,more,med
vhigh,unacc,2,big,vhigh,more,high
vhigh,unacc,3,small,vhigh,2,low
vhigh,unacc,3,small,vhigh,2,med
vhigh,unacc,3,small,vhigh,2,high
vhigh,unacc,3,med,vhigh,2,low
vhigh,unacc,3,med,vhigh,2,med
vhigh,unacc,3,med,vhigh,2,high
vhigh,unacc,3,big,vhigh,2,low
vhigh,unacc,3,big,vhigh,2,med
vhigh,unacc,3,big,vhigh,2,high
vhigh,unacc,3,small,vhigh,4,low
vhigh,unacc,3,small,vhigh,4,med
vhigh,unacc,3,small,vhigh,4,high
vhigh,unacc,3,med,vhigh,4,low
vhigh,unacc,3,med,vhigh,4,med
vhigh,unacc,3,med,vhigh,4,high
vhigh,unacc,3,big,vhigh,4,low
vhigh,unacc,3,big,vhigh,4,med
vhigh,unacc,3,big,vhigh,4,high
vhigh,unacc,3,small,vhigh,more,low
vhigh,unacc,3,small,vhigh,more,med
vhigh,unacc,3,small,vhigh,more,high
vhigh,unacc,3,med,vhigh,more,low
vhigh,unacc,3,med,vhigh,more,med
vhigh,unacc,3,med,vhigh,more,high
vhigh,unacc,3,big,vhigh,more,low
vhigh,unacc,3,big,vhigh,more,med
vhigh,unacc,3,big,vhigh,more,high
vhigh,unacc,4,small,vhigh,2,low
vhigh,unacc,4,small,vhigh,2,med
vhigh,unacc,4,small,vhigh,2,high
vhigh,unacc,4,med,vhigh,2,low
vhigh,unacc,4,med,vhigh,2,med
vhigh,unacc,4,med,vhigh,2,high
vhigh,unacc,4,big,vhigh,2,low
vhigh,unacc,4,big,vhigh,2,med
vhigh,unacc,4,big,vhigh,2,high
vhigh,unacc,4,small,vhigh,4,low
vhigh,unacc,4,small,vhigh,4,med
vhigh,unacc,4,small,vhigh,4,high
vhigh,unacc,4,med,vhigh,4,low
vhigh,unacc,4,med,vhigh,4,med
vhigh,unacc,4,med,vhigh,4,high
vhigh,unacc,4,big,vhigh,4,low
vhigh,unacc,4,big,vhigh,4,med
vhigh,unacc,4,big,vhigh,4,high
vhigh,unacc,4,small,vhigh,more,low
vhigh,unacc,4,small,vhigh,more,med
vhigh,unacc,4,small,vhigh,more,high
vhigh,unacc,4,med,vhigh,more,low
vhigh,unacc,4,med,vhigh,more,med
vhigh,unacc,4,med,vhigh,more,high
vhigh,unacc,4,big,vhigh,more,low
vhigh,unacc,4,big,vhigh,more,med
vhigh,unacc,4,big,vhigh,more,high
vhigh,unacc,5more,small,vhigh,2,low
vhigh,unacc,5more,small,vhigh,2,med
vhigh,unacc,5more,small,vhigh,2,high
vhigh,unacc,5more,med,vhigh,2,low
vhigh,unacc,5more,med,vhigh,2,med
vhigh,unacc,5more,med,vhigh,2,high
